189,2,10,3,1,2,True,1,True,0.5,True,0.5
184,2,10,3,1,2,True,0.02,True,0.01,True,0.01
183,2,10,3,1,2,True,0.01,True,0.005,True,0.005
188,2,10,3,1,2,True,0.5,True,0.25,True,0.25
197,2,4,4,1,1,True,0.01,True,0.005,True,0.005
198,2,4,4,1,1,True,0.02,True,0.01,True,0.01
199,2,4,4,1,1,True,0.05,True,0.025,True,0.025
200,2,4,4,1,1,True,0.1,True,0.05,True,0.05
201,2,4,4,1,1,True,0.2,True,0.1,True,0.1
202,2,4,4,1,1,True,0.5,True,0.25,True,0.25
203,2,4,4,1,1,True,1,True,0.5,True,0.5
211,2,4,4,1,2,True,0.01,True,0.005,True,0.005
212,2,4,4,1,2,True,0.02,True,0.01,True,0.01
214,2,4,4,1,2,True,0.1,True,0.05,True,0.05
215,2,4,4,1,2,True,0.2,True,0.1,True,0.1
216,2,4,4,1,2,True,0.5,True,0.25,True,0.25
217,2,4,4,1,2,True,1,True,0.5,True,0.5
213,2,4,4,1,2,True,0.05,True,0.025,True,0.025
225,3,4,1,1,1,True,0.01,True,0.005,True,0.005
227,3,4,1,1,1,True,0.05,True,0.025,True,0.025
228,3,4,1,1,1,True,0.1,True,0.05,True,0.05
226,3,4,1,1,1,True,0.02,True,0.01,True,0.01
229,3,4,1,1,1,True,0.2,True,0.1,True,0.1
230,3,4,1,1,1,True,0.5,True,0.25,True,0.25
231,3,4,1,1,1,True,1,True,0.5,True,0.5
244,3,4,1,1,2,True,0.5,True,0.25,True,0.25
245,3,4,1,1,2,True,1,True,0.5,True,0.5
243,3,4,1,1,2,True,0.2,True,0.1,True,0.1
242,3,4,1,1,2,True,0.1,True,0.05,True,0.05
239,3,4,1,1,2,True,0.01,True,0.005,True,0.005
240,3,4,1,1,2,True,0.02,True,0.01,True,0.01
241,3,4,1,1,2,True,0.05,True,0.025,True,0.025
253,3,4,2,1,1,True,0.01,True,0.005,True,0.005
254,3,4,2,1,1,True,0.02,True,0.01,True,0.01
256,3,4,2,1,1,True,0.1,True,0.05,True,0.05
255,3,4,2,1,1,True,0.05,True,0.025,True,0.025
257,3,4,2,1,1,True,0.2,True,0.1,True,0.1
258,3,4,2,1,1,True,0.5,True,0.25,True,0.25
